material_id,formula,mp_e_above_hull,alex_e_above_hull,abs_delta_ehull,mp_stable_exact,alex_stable_exact,discordant,quadrant,near_hull_10meV,near_hull_25meV,near_hull_50meV,ALIGNN-FF_rank,ALIGNN-FF_rank_percentile,CHGNet_rank,CHGNet_rank_percentile,MACE-MP_rank,MACE-MP_rank_percentile
mp-1000,BaTe,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,199,0.6933797909407665,230,0.8013937282229965,234,0.8153310104529616
mp-10000,Hf2S,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,10,0.03484320557491289,12,0.041811846689895474,16,0.05574912891986063
mp-10003,Nb4CoSi,0.012775998749997,0.0286554658333351,0.0158794670833381,False,False,False,both_unstable,False,True,True,16,0.05574912891986063,13,0.04529616724738676,12,0.041811846689895474
mp-10004,Mo3P,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,7,0.024390243902439025,8,0.027874564459930314,8,0.027874564459930314
mp-10009,GaTe,0.004359849583334,0.006258415,0.001898565416666,False,False,False,both_unstable,True,True,True,268,0.9337979094076655,261,0.9094076655052264,266,0.926829268292683
mp-1001,BaN2,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,65,0.2264808362369338,108,0.37630662020905925,105,0.36585365853658536
mp-10010,Al(CoSi)2,0.015228510000012,0.0,0.015228510000012,False,True,True,Alex_stable_only,True,True,True,111,0.3867595818815331,136,0.4738675958188153,132,0.45993031358885017
mp-1001012,Sc2ZnS4,0.009632063214286,0.0092860403571419,0.00034602285714410014,False,False,False,both_unstable,True,True,True,129,0.44947735191637633,140,0.4878048780487805,150,0.5226480836236934
mp-1001015,Y2ZnS4,0.047406897244899,0.0457952016666665,0.0016116955782324999,False,False,False,both_unstable,False,False,True,121,0.42160278745644597,132,0.45993031358885017,143,0.49825783972125437
mp-1001016,Sc2ZnSe4,0.019004453928572,0.0193959778571422,0.0003915239285701977,False,False,False,both_unstable,False,True,True,162,0.5644599303135889,174,0.6062717770034843,181,0.6306620209059234
mp-1001017,Zn(InSe2)2,0.059226812857142,0.0592268128571427,7.008282842946301e-16,False,False,False,both_unstable,False,False,False,256,0.89198606271777,258,0.8989547038327527,264,0.9198606271777003
mp-1001019,Mg(ScSe2)2,0.003288914642856,0.0036804385714273,0.00039152392857129967,False,False,False,both_unstable,True,True,True,154,0.5365853658536586,163,0.5679442508710801,170,0.5923344947735192
mp-1001021,Y2ZnSe4,0.048733503571428,0.0487335035714284,4.0245584642661925e-16,False,False,False,both_unstable,False,False,True,166,0.578397212543554,164,0.5714285714285714,173,0.6027874564459931
