denominator,model_name,label_view,K,K_effective,n_ranked,stable_n,precision_at_k,recall_at_k,stable_yield_at_k,uncertain_fraction_at_k,false_positive_burden_at_k,DAF_at_k,metric_status
D5_full_complete,MACE-MP,mp_native,1000,1000,36769,465,0.465,0.030946359643284974,0.465,0.0,0.5349999999999999,1.1378666977239453,ok
D5_full_complete,MACE-MP,mp_native,5000,5000,36769,2044,0.4088,0.13603087980833223,0.4088,0.0,0.5912,1.0003438839345136,ok
D5_full_complete,MACE-MP,mp_native,10000,10000,36769,3819,0.3819,0.25415945694130176,0.3819,0.0,0.6181,0.9345189072274724,ok
D5_full_complete,MACE-MP,alexmp20_native,100,100,36769,42,0.42,0.0031597953656334636,0.42,0.0,0.5800000000000001,1.1618251579897683,ok
D5_full_complete,MACE-MP,alexmp20_native,300,300,36769,124,0.41333333333333333,0.009328919650917845,0.41333333333333333,0.0,0.5866666666666667,1.1433834888153276,ok
D5_full_complete,MACE-MP,alexmp20_native,500,500,36769,205,0.41,0.015422810713210954,0.41,0.0,0.5900000000000001,1.1341626542281071,ok
D5_full_complete,MACE-MP,alexmp20_native,1000,1000,36769,385,0.385,0.028964790851640086,0.385,0.0,0.615,1.0650063948239543,ok
D5_full_complete,MACE-MP,alexmp20_native,5000,5000,36769,1806,0.3612,0.13587120072223893,0.3612,0.0,0.6388,0.9991696358712009,ok
D5_full_complete,MACE-MP,alexmp20_native,10000,10000,36769,3436,0.3436,0.25850135419801384,0.3436,0.0,0.6564,0.9504836292506772,ok
D5_full_complete,MACE-MP,alex_pbe_native,100,100,36769,37,0.37,0.003041012574997945,0.37,0.0,0.63,1.1181499137009945,ok
D5_full_complete,MACE-MP,alex_pbe_native,300,300,36769,106,0.35333333333333333,0.008712090079723843,0.35333333333333333,0.0,0.6466666666666667,1.06778280047122,ok
D5_full_complete,MACE-MP,alex_pbe_native,500,500,36769,177,0.354,0.014547546642557738,0.354,0.0,0.646,1.069797485000411,ok
D5_full_complete,MACE-MP,alex_pbe_native,1000,1000,36769,337,0.337,0.027697871291197503,0.337,0.0,0.663,1.018423029506041,ok
D5_full_complete,MACE-MP,alex_pbe_native,5000,5000,36769,1653,0.3306,0.13585929152625956,0.3306,0.0,0.6694,0.9990820580258076,ok
D5_full_complete,MACE-MP,alex_pbe_native,10000,10000,36769,3165,0.3165,0.26012985945590533,0.3165,0.0,0.6835,0.9564714802334183,ok
D5_full_complete,MACE-MP,common_pool,100,100,31872,71,0.71,0.004306684459541429,0.71,0.0,0.29000000000000004,1.3726264709450442,ok
D5_full_complete,MACE-MP,common_pool,300,300,31872,191,0.6366666666666667,0.011585587771442436,0.6366666666666667,0.0,0.3633333333333333,1.2308528448380445,ok
D5_full_complete,MACE-MP,common_pool,500,500,31872,308,0.616,0.01868251850054592,0.616,0.0,0.384,1.190898459298799,ok
D5_full_complete,MACE-MP,common_pool,1000,1000,31872,565,0.565,0.034271503093533905,0.565,0.0,0.43500000000000005,1.0923013465971128,ok
D5_full_complete,MACE-MP,common_pool,5000,5000,31872,2631,0.5262,0.15958995511342958,0.5262,0.0,0.4738,1.0172902098750456,ok
D5_full_complete,MACE-MP,common_pool,10000,10000,31872,5006,0.5006,0.30365158316147034,0.5006,0.0,0.49939999999999996,0.9677983258522385,ok
D5_full_complete,MACE-MP,source_union,100,0,0,0,,,,,,,not_evaluable_full_source_union_incomplete
D5_full_complete,MACE-MP,source_union,300,0,0,0,,,,,,,not_evaluable_full_source_union_incomplete
D5_full_complete,MACE-MP,source_union,500,0,0,0,,,,,,,not_evaluable_full_source_union_incomplete
D5_full_complete,MACE-MP,source_union,1000,0,0,0,,,,,,,not_evaluable_full_source_union_incomplete
D5_full_complete,MACE-MP,source_union,5000,0,0,0,,,,,,,not_evaluable_full_source_union_incomplete
D5_full_complete,MACE-MP,source_union,10000,0,0,0,,,,,,,not_evaluable_full_source_union_incomplete
D5_full_complete,MACE-MP,consensus,100,100,24614,57,0.57,0.0060082217771687575,0.57,0.0,0.43000000000000005,1.478863708232318,ok
D5_full_complete,MACE-MP,consensus,300,300,24614,142,0.47333333333333333,0.014967850743122168,0.47333333333333333,0.0,0.5266666666666666,1.2280622606373635,ok
D5_full_complete,MACE-MP,consensus,500,500,24614,221,0.442,0.023295035311478866,0.442,0.0,0.558,1.1467679983134818,ok
