denominator,model_name,label_view,K,metric,value,ci_low_95,ci_high_95,ci_denominator_n,bootstrap_method,metric_status
D5_full_complete,ALIGNN-FF,alex_pbe_native,10000,DAF@10000,0.8815252157475139,,,,deterministic_binomial_topk_approximation_phase2_v1,point_estimate_only_ratio_metric
D5_full_complete,ALIGNN-FF,common_pool,100,precision@100,0.57,0.4729651526512253,0.6670348473487746,100.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,common_pool,100,stable_yield@100,0.57,0.4729651526512253,0.6670348473487746,100.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,common_pool,100,uncertain_fraction@100,0.0,0.0,0.0,100.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,common_pool,100,false_positive_burden@100,0.43000000000000005,0.3329651526512254,0.5270348473487747,100.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,common_pool,100,recall@100,0.0034574790731529783,0.0025614417071198204,0.004353516439186136,16486.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,common_pool,100,DAF@100,1.1019677301953172,,,,deterministic_binomial_topk_approximation_phase2_v1,point_estimate_only_ratio_metric
D5_full_complete,ALIGNN-FF,common_pool,300,precision@300,0.48333333333333334,0.426784449203792,0.5398822174628747,300.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,common_pool,300,stable_yield@300,0.48333333333333334,0.426784449203792,0.5398822174628747,300.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,common_pool,300,uncertain_fraction@300,0.0,0.0,0.0,300.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,common_pool,300,false_positive_burden@300,0.5166666666666666,0.4601177825371252,0.573215550796208,300.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,common_pool,300,recall@300,0.008795341501880383,0.007370040979832614,0.010220642023928151,16486.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,common_pool,300,DAF@300,0.934417081159772,,,,deterministic_binomial_topk_approximation_phase2_v1,point_estimate_only_ratio_metric
D5_full_complete,ALIGNN-FF,common_pool,500,precision@500,0.48,0.4362081432227406,0.5237918567772594,500.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,common_pool,500,stable_yield@500,0.48,0.4362081432227406,0.5237918567772594,500.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,common_pool,500,uncertain_fraction@500,0.0,0.0,0.0,500.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,common_pool,500,false_positive_burden@500,0.52,0.47620814322274063,0.5637918567772594,500.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,common_pool,500,recall@500,0.014557806623802013,0.012729445520923819,0.01638616772668021,16486.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,common_pool,500,DAF@500,0.9279728254276356,,,,deterministic_binomial_topk_approximation_phase2_v1,point_estimate_only_ratio_metric
D5_full_complete,ALIGNN-FF,common_pool,1000,precision@1000,0.499,0.468009740911054,0.529990259088946,1000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,common_pool,1000,stable_yield@1000,0.499,0.468009740911054,0.529990259088946,1000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,common_pool,1000,uncertain_fraction@1000,0.0,0.0,0.0,1000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,common_pool,1000,false_positive_burden@1000,0.501,0.470009740911054,0.531990259088946,1000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,common_pool,1000,recall@1000,0.030268106271988355,0.027652834125875794,0.03288337841810091,16486.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,common_pool,1000,DAF@1000,0.9647050831008128,,,,deterministic_binomial_topk_approximation_phase2_v1,point_estimate_only_ratio_metric
D5_full_complete,ALIGNN-FF,common_pool,5000,precision@5000,0.466,0.4521727869011865,0.47982721309881354,5000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,common_pool,5000,stable_yield@5000,0.466,0.4521727869011865,0.47982721309881354,5000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,common_pool,5000,uncertain_fraction@5000,0.0,0.0,0.0,5000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,common_pool,5000,false_positive_burden@5000,0.534,0.5201727869011865,0.5478272130988135,5000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,common_pool,5000,recall@5000,0.14133203930607788,0.13601424707039478,0.14664983154176098,16486.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,common_pool,5000,DAF@5000,0.900906951352663,,,,deterministic_binomial_topk_approximation_phase2_v1,point_estimate_only_ratio_metric
D5_full_complete,ALIGNN-FF,common_pool,10000,precision@10000,0.4708,0.461016726017452,0.48058327398254796,10000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,common_pool,10000,stable_yield@10000,0.4708,0.461016726017452,0.48058327398254796,10000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,common_pool,10000,uncertain_fraction@10000,0.0,0.0,0.0,10000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,common_pool,10000,false_positive_burden@10000,0.5292,0.519416726017452,0.538983273982548,10000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,common_pool,10000,recall@10000,0.28557563993691615,0.27868059453586774,0.29247068533796455,16486.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,common_pool,10000,DAF@10000,0.9101866796069393,,,,deterministic_binomial_topk_approximation_phase2_v1,point_estimate_only_ratio_metric
D5_full_complete,ALIGNN-FF,source_union,100,precision@100,,,,0.0,deterministic_binomial_topk_approximation_phase2_v1,not_evaluable_full_source_union_incomplete
D5_full_complete,ALIGNN-FF,source_union,100,stable_yield@100,,,,0.0,deterministic_binomial_topk_approximation_phase2_v1,not_evaluable_full_source_union_incomplete
D5_full_complete,ALIGNN-FF,source_union,100,uncertain_fraction@100,,,,0.0,deterministic_binomial_topk_approximation_phase2_v1,not_evaluable_full_source_union_incomplete
D5_full_complete,ALIGNN-FF,source_union,100,false_positive_burden@100,,,,0.0,deterministic_binomial_topk_approximation_phase2_v1,not_evaluable_full_source_union_incomplete
D5_full_complete,ALIGNN-FF,source_union,100,recall@100,,,,0.0,deterministic_binomial_topk_approximation_phase2_v1,not_evaluable_full_source_union_incomplete
D5_full_complete,ALIGNN-FF,source_union,100,DAF@100,,,,,deterministic_binomial_topk_approximation_phase2_v1,not_evaluable_full_source_union_incomplete
D5_full_complete,ALIGNN-FF,source_union,300,precision@300,,,,0.0,deterministic_binomial_topk_approximation_phase2_v1,not_evaluable_full_source_union_incomplete
D5_full_complete,ALIGNN-FF,source_union,300,stable_yield@300,,,,0.0,deterministic_binomial_topk_approximation_phase2_v1,not_evaluable_full_source_union_incomplete
D5_full_complete,ALIGNN-FF,source_union,300,uncertain_fraction@300,,,,0.0,deterministic_binomial_topk_approximation_phase2_v1,not_evaluable_full_source_union_incomplete
D5_full_complete,ALIGNN-FF,source_union,300,false_positive_burden@300,,,,0.0,deterministic_binomial_topk_approximation_phase2_v1,not_evaluable_full_source_union_incomplete
D5_full_complete,ALIGNN-FF,source_union,300,recall@300,,,,0.0,deterministic_binomial_topk_approximation_phase2_v1,not_evaluable_full_source_union_incomplete
D5_full_complete,ALIGNN-FF,source_union,300,DAF@300,,,,,deterministic_binomial_topk_approximation_phase2_v1,not_evaluable_full_source_union_incomplete
D5_full_complete,ALIGNN-FF,source_union,500,precision@500,,,,0.0,deterministic_binomial_topk_approximation_phase2_v1,not_evaluable_full_source_union_incomplete
D5_full_complete,ALIGNN-FF,source_union,500,stable_yield@500,,,,0.0,deterministic_binomial_topk_approximation_phase2_v1,not_evaluable_full_source_union_incomplete
