cluster,threshold_meV_per_atom,endpoint,K,model,winner_frequency,winner_equivalent_replicates,bootstrap_replicates
chemical_system,50,alex_pbe_source_coordinate,1000,ALIGNN-FF,0.0,0.0,1000
chemical_system,50,alex_pbe_source_coordinate,1000,CHGNet,0.002333333333333333,2.333333333333333,1000
chemical_system,50,alex_pbe_source_coordinate,1000,M3GNet,0.2748333333333333,274.8333333333333,1000
chemical_system,50,alex_pbe_source_coordinate,1000,MACE-MP,0.7228333333333333,722.8333333333334,1000
chemical_system,50,alexmp20_source_coordinate,100,ALIGNN-FF,0.4065833333333333,406.5833333333333,1000
chemical_system,50,alexmp20_source_coordinate,100,CHGNet,0.16925,169.25,1000
chemical_system,50,alexmp20_source_coordinate,100,M3GNet,0.14075,140.75,1000
chemical_system,50,alexmp20_source_coordinate,100,MACE-MP,0.2834166666666667,283.4166666666667,1000
chemical_system,50,alexmp20_source_coordinate,300,ALIGNN-FF,0.007666666666666666,7.666666666666666,1000
chemical_system,50,alexmp20_source_coordinate,300,CHGNet,0.042666666666666665,42.666666666666664,1000
chemical_system,50,alexmp20_source_coordinate,300,M3GNet,0.7818333333333334,781.8333333333334,1000
chemical_system,50,alexmp20_source_coordinate,300,MACE-MP,0.16783333333333333,167.83333333333334,1000
chemical_system,50,alexmp20_source_coordinate,500,ALIGNN-FF,0.13625,136.25,1000
chemical_system,50,alexmp20_source_coordinate,500,CHGNet,0.2664166666666667,266.4166666666667,1000
chemical_system,50,alexmp20_source_coordinate,500,M3GNet,0.36375,363.75,1000
chemical_system,50,alexmp20_source_coordinate,500,MACE-MP,0.23358333333333334,233.58333333333334,1000
chemical_system,50,alexmp20_source_coordinate,1000,ALIGNN-FF,0.0,0.0,1000
chemical_system,50,alexmp20_source_coordinate,1000,CHGNet,0.0005,0.5,1000
chemical_system,50,alexmp20_source_coordinate,1000,M3GNet,0.5525,552.5,1000
chemical_system,50,alexmp20_source_coordinate,1000,MACE-MP,0.447,447.0,1000
chemical_system,50,mp_matched_pool_coordinate,100,ALIGNN-FF,0.25,250.0,1000
chemical_system,50,mp_matched_pool_coordinate,100,CHGNet,0.25,250.0,1000
chemical_system,50,mp_matched_pool_coordinate,100,M3GNet,0.25,250.0,1000
chemical_system,50,mp_matched_pool_coordinate,100,MACE-MP,0.25,250.0,1000
