cutoff_mev_atom,source_pair,stratum_type,stratum,n,chemical_system_n,conflict_n,conflict_fraction,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,bootstrap_unit,n_bootstrap,bootstrap_seed,evidence_scope
25,alex-mp-20--official_Alexandria_PBE,element_count,ternary,22108,12061,1719,0.07775465894698752,0.07363551878562465,0.08185007798403063,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
25,alex-mp-20--official_Alexandria_PBE,element_count,quaternary_or_higher,7315,5264,675,0.09227614490772386,0.08418808623773133,0.10085011554109458,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
25,alex-mp-20--official_Alexandria_PBE,element_family,transition_metal_present,27596,14434,2233,0.08091752427888099,0.07709149697257639,0.08502385949330234,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
25,alex-mp-20--official_Alexandria_PBE,element_family,lanthanide_present,13384,7762,1129,0.08435445307830244,0.0791794829882075,0.08966969393638224,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
25,alex-mp-20--official_Alexandria_PBE,element_family,oxygen_present,9308,4393,920,0.09883970777825526,0.09038136900375328,0.10764506823058655,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
25,alex-mp-20--official_Alexandria_PBE,element_family,halogen_present,4954,2810,532,0.10738796931772306,0.09560438239464647,0.11942935362340605,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
25,MP--alex-mp-20,overall,all,36802,19361,3258,0.08852779740231509,0.0848664324516739,0.09236839780811446,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
25,MP--alex-mp-20,element_count,unary,120,61,15,0.125,0.0639909090909091,0.19047619047619047,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
25,MP--alex-mp-20,element_count,binary,7259,1975,779,0.10731505717040915,0.09706283422459892,0.1182193271415808,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
25,MP--alex-mp-20,element_count,ternary,22108,12061,1828,0.0826850009046499,0.07828418259761198,0.08722756291682418,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
25,MP--alex-mp-20,element_count,quaternary_or_higher,7315,5264,636,0.08694463431305537,0.07889730113511952,0.0954140939969506,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
25,MP--alex-mp-20,element_family,transition_metal_present,27596,14434,2339,0.08475866067546022,0.08042706203416543,0.08928188935472366,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
25,MP--alex-mp-20,element_family,lanthanide_present,13384,7762,1265,0.09451583980872684,0.08863072051857392,0.10034588989639673,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
25,MP--alex-mp-20,element_family,oxygen_present,9308,4393,767,0.0824022346368715,0.07410776961997023,0.09124460767353713,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
25,MP--alex-mp-20,element_family,halogen_present,4954,2810,636,0.1283811061768268,0.11208483089431936,0.14561155115862223,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
